project_id,meter_id,campus_id,event_type,event_date,n_days,coverage,adjusted_change_pct,pre_daily_kwh,post_daily_kwh,annualized_kwh_saved,effect_beta,effect_se,signal_z,pre_cv,built_year,gross_floor_area,capacity,category
U01,37,1,HVAC_Tuning,2019-06-15,112,1.0,-10.692701945297763,8983.857142857143,7913.5625,350865.3838959954,-0.1130869763083118,0.0359724073387688,3.143714350268662,0.0407286134541831,1965.0,5459748.900000038,983.0,library
U02,26,1,LED_Installation,2019-12-09,112,1.0,-34.78950949350449,948.9878035714283,677.4695357142857,120586.6307862278,-0.4275498326591844,0.1518789494088553,2.8150697085292475,0.1070108623567953,1972.0,1464449.6100000022,766.0,mixed use
U03,18,1,LED_Installation,2019-10-21,112,1.0,-9.584782791809545,2453.8928571428573,2444.209821428572,85906.90968489356,-0.1007576008071838,0.0421834615923321,2.3885569039441297,0.1146648409477061,1972.0,1405706.1599999988,775.0,mixed use
U04,27,1,HVAC_Tuning,2019-05-30,112,1.0,-25.5187281537902,693.9287857142857,466.4014107142857,64679.127598775776,-0.2946224768196196,0.0573533505535282,5.136970531611337,0.1700351851481789,1967.0,145226.20000000004,1246.0,mixed use
U05,7,1,HVAC_Tuning,2019-06-07,112,1.0,-29.057058097638745,596.2983674999999,475.7109375,63285.68521487736,-0.3432942672126441,0.0581720628300395,5.901359597892932,0.1465120922854046,1980.0,176996.6100000002,799.0,teaching
U06,49,1,LED_Installation,2019-11-25,112,1.0,-0.3914730649642413,1551.379674107143,1414.8700535714286,2218.24855759258,-0.0039224132644718,0.0168965077862946,0.2321434157838246,0.0648961830289518,1969.0,222608.9599999995,199.0,office
U07,18,1,HVAC_Tuning,2019-05-17,112,1.0,-16.796635128510868,3069.3214285714284,2253.379464285714,188301.97894691376,-0.1838823958117946,0.0293048714906742,6.274806207408402,0.0643647219517185,1972.0,1405706.1599999988,775.0,mixed use
U08,30,1,HVAC_Tuning,2019-06-03,112,1.0,-9.951940015586642,4108.217477857143,3719.9757419642856,149331.49060853562,-0.1048266583581813,0.0297381526267723,3.5249887963390267,0.1713564549777763,1988.0,1466488.4200000006,994.0,mixed use
U09,5,1,HVAC_Tuning,2019-05-10,112,1.0,-19.532268470677803,1851.4151580357145,1518.9811217857143,132082.93924343478,-0.2173139324930646,0.0276360837216951,7.863412443603738,0.0684549334153104,1899.0,0.0,,other
U10,34,1,HVAC_Tuning,2019-06-10,112,1.0,-24.045388477881165,526.2193080357143,521.8510044642857,46215.62192413976,-0.2750342409209822,0.0502466964671957,5.473677968597677,0.270661351384636,1968.0,786082.8900000039,800.0,mixed use
U11,59,1,HVAC_Tuning,2019-04-23,112,1.0,-5.218666059346677,2397.125,1857.7075892857144,45692.0257901104,-0.0535976954745362,0.0473263079817293,1.1325137461116606,0.1580804617601465,2014.0,3255395.129999976,1595.0,mixed use
U12,58,1,LED_Installation,2019-10-30,112,1.0,-13.963250208049004,710.2578125,623.7433035714286,36223.69631965095,-0.1503956578489031,0.0543958280668502,2.7648380478597536,0.2580410648990882,1973.0,968797.2600000042,849.0,mixed use
U13,25,1,LED_Installation,2019-12-09,112,1.0,-88.2789538158162,1234.4254642857145,786.7323392857143,398026.7626816,-2.1437841409609963,0.225671144575129,9.499593470390309,0.2785062577708535,1972.0,384454.4499999991,442.0,mixed use
U14,25,1,HVAC_Tuning,2019-05-17,112,1.0,-36.449568258415205,1285.1805714285713,814.3217142857144,171098.7216061696,-0.4533363946450243,0.1039436650447796,4.361366227449818,0.2293205508340244,1972.0,384454.4499999991,442.0,mixed use
U15,44,1,HVAC_Tuning,2019-05-17,112,1.0,-5.654461032207688,785.0200892857143,813.9341517857143,16212.956254697803,-0.0582061970317589,0.0397239296460962,1.4652678142634654,0.1838523334114268,1986.0,2358137.079999972,722.0,mixed use
U16,61,1,HVAC_Tuning,2019-05-23,112,1.0,-7.325372643314042,1454.1180094642857,1181.5709119642856,38906.27033709851,-0.0760754579285086,0.0573335944798358,1.326891455032927,0.0954903186373987,1966.0,1208347.8399999996,691.0,mixed use
U17,39,1,HVAC_Tuning,2019-05-17,112,1.0,-2.135151518195955,3725.861607142857,3732.566964285714,29056.656792506383,-0.0215827562716183,0.0205787057501624,1.0487907006813222,0.0535201282459832,1972.0,1356939.4800000023,723.0,teaching
U18,33,1,LED_Installation,2019-09-24,112,1.0,-7.505465617370883,652.5275178571428,577.492,17888.202208401963,-0.0780206309708229,0.0306037884515132,2.5493781119633607,0.2914569182854715,1972.0,1070857.9200000025,645.0,mixed use
U19,51,1,LED_Installation,2019-12-13,112,1.0,-26.64880065624752,480.0138035714286,392.6189642857143,46722.02087762992,-0.3099113305613723,0.0781226822506165,3.9669826696451382,0.3438826582744756,1970.0,344871.48000000016,412.0,mixed use
U20,33,1,HVAC_Tuning,2019-05-17,112,1.0,-5.547729240526646,538.8182321428571,571.0882142857143,10918.11750967995,-0.0570755504082056,0.0268260672779521,2.1276151919405564,0.3512182191081246,1972.0,1070857.9200000025,645.0,mixed use
U21,16,1,HVAC_Tuning,2019-06-02,112,1.0,-0.9513260637374944,1584.477678571429,1554.4263392857142,5505.613819861361,-0.00955880075483,0.0348850181190688,0.2740087578052955,0.1623922636433657,1992.0,786493.8900000029,737.0,mixed use
U22,63,1,HVAC_Tuning,2019-05-23,112,1.0,12.522056272807406,1629.375,1832.767857142857,0.0,0.1179790721982529,0.058761390445588,2.0077651208702108,0.2269447142846926,1972.0,1640647.3800000031,1362.0,mixed use
U23,62,1,HVAC_Tuning,2019-05-23,112,1.0,0.2653328571715577,1333.216517857143,1310.428571428571,0.0,0.0026498147097087,0.0327803146514238,0.0808355458771687,0.1795592671263273,1968.0,1274716.1699999983,1331.0,teaching
U24,29,1,LED_Installation,2019-10-10,112,1.0,5.067824432460663,1709.625,1707.2611607142858,0.0,0.0494359026112964,0.0376284214740146,1.3137915267491171,0.2176190968404556,1976.0,1691664.8399999966,721.0,mixed use
U25,45,1,HVAC_Tuning,2019-05-17,112,1.0,5.046601912148577,2285.78125,2344.741071428572,0.0,0.0492338934417837,0.0213380356020382,2.3073300678976705,0.0670515779163193,,0.0,,other
U26,50,1,HVAC_Tuning,2019-05-23,112,1.0,2.763860290745452,1826.15625,1836.325892857143,0.0,0.0272635516315523,0.0321264310563605,0.8486330378587615,0.0918805039619909,1968.0,911138.5599999988,764.0,mixed use
U27,54,1,HVAC_Tuning,2019-05-23,112,1.0,2.8957106358272258,2752.714285714286,2732.7946428571427,0.0,0.0285457712000576,0.0154436890590443,1.848377628074734,0.074613430139956,1899.0,1312015.9999999988,643.0,mixed use
U28,17,1,HVAC_Tuning,2019-05-15,112,1.0,7.369557863047495,1551.75,1605.165178571429,0.0,0.0711065095678266,0.0361821714439851,1.9652360476118191,0.0881683312301067,1967.0,1259005.4499999948,616.0,mixed use
U29,56,1,HVAC_Tuning,2019-05-23,112,1.0,3.264530991584379,917.9313616071428,1001.0245535714286,0.0,0.0321237719466441,0.0889710018055307,0.3610588948498088,0.2369244537487545,2018.0,71171.19999999994,0.0,sport
U30,51,1,HVAC_Tuning,2019-05-23,112,1.0,1.2168496401598627,650.2066294642857,483.7884642857143,0.0,0.0120950554265021,0.072398724120455,0.1670617183711275,0.2856191448630883,1970.0,344871.48000000016,412.0,mixed use
U31,32,1,HVAC_Tuning,2019-05-17,112,1.0,2.9049691694005544,114.39125,129.41166071428572,0.0,0.0286357469337465,0.1254725161775547,0.228223260183937,0.2993379827208722,1899.0,8037.119999999998,488.0,teaching
U32,49,1,HVAC_Tuning,2019-05-23,112,1.0,0.6410929030494964,1566.6264642857143,1656.35503125,0.0,0.0063904664345808,0.0170458618962086,0.3748983828798862,0.0693657686467431,1969.0,222608.9599999995,199.0,office
